question,Matched Article Title,context,answer
Apa aktiviti popular di taman botani perdana?,taman botani perdana,"Taman Tasik Perdana bahasa Inggeris Lake Gardens Cina letak di Kuala Lumpur , Malaysia . Tasik ini letak di belah kiri Jalan Mahameru tuju ke bangun Parlimen Malaysia . Nama Tasik Perdana pilih kerana hampir dengan diam bekas Perdana Menteri Malaysia ke-2 , Allahyarham Tun Abdul Razak . Sejarah Tasik ini rupa buah bekas lombong bijih timah pada zaman jajah British . Ketika itu lombong ini usaha lombong bijih timah guna lombong palung . Telah jumlah bijih timah rang , lombong ini tinggal biar dan maju bagai buah tasik rekreasi . Pada 13 Mei tahun 1889 , Kebun Bunga Kuala Lumpur telah dirasmikan oleh Gabenor Negeri Selat , Sir Cecil Clementi Smith . Idea mengwujudkan kebun bunga ini cetus oleh Bendahari Raja Negeri Selangor , A R Venning yang saran buah Botanic Garden wujud di Kuala Lumpur . Lama puluh tahun A R Venning dengan bantu Raja Negeri Selangor , usaha bina buah kebun di kawasan luas 70 1 hektar di lembah Sungai Bras-Bras . Usaha ini turut dapat sokong daripada tokoh masyarakat Kantonis yang kenal , Tauke Chow Ah Yeok . Beliau telah sumbang banyak ratus pokok cempaka dan pokok limau untuk tanam di kebun ini . Pada tahun 1967 , buah panggung yang beri nama Panggung Aniverseri telah bina di kebun bunga ini tuju sedia mudah sembah pentas dan tunjuk budaya . Pada 1 Februari 1968 , kebun bunga ini telah tukar nama jadi Taman Tasik Perdana oleh YAB Tun Abdul Razak bin Dato Hussein . Aktiviti Kawasan sekitar telah jaga dengan rapi dengan tanam pelbagai spesis pokok hias . Trek joging , kerusi rehat , Panggung Anniversari , gelanggang main dan lain telah sedia di sini . Lake Gardens rupa kawasan rekreasi yang tarik unjung tempat dan antarabangsa . Antara lokasi yang tarik di sekitar Lake Gardens ialah Tugu Negara Panggung Anniversari Muzium Negara Planetarium Negara Galeri Seri Perdana - dahulu diam Allahyarham Tun Abdul Razak . Taman Bunga Raya Taman Orkid Taman Burung Kuala Lumpur Rujuk",Aktiviti Kawasan sekitar telah jaga dengan rapi dengan tanam pelbagai spesis pokok hias.
Apakah keunikan taman botani perdana?,taman botani perdana,"Taman Tasik Perdana bahasa Inggeris Lake Gardens Cina letak di Kuala Lumpur , Malaysia . Tasik ini letak di belah kiri Jalan Mahameru tuju ke bangun Parlimen Malaysia . Nama Tasik Perdana pilih kerana hampir dengan diam bekas Perdana Menteri Malaysia ke-2 , Allahyarham Tun Abdul Razak . Sejarah Tasik ini rupa buah bekas lombong bijih timah pada zaman jajah British . Ketika itu lombong ini usaha lombong bijih timah guna lombong palung . Telah jumlah bijih timah rang , lombong ini tinggal biar dan maju bagai buah tasik rekreasi . Pada 13 Mei tahun 1889 , Kebun Bunga Kuala Lumpur telah dirasmikan oleh Gabenor Negeri Selat , Sir Cecil Clementi Smith . Idea mengwujudkan kebun bunga ini cetus oleh Bendahari Raja Negeri Selangor , A R Venning yang saran buah Botanic Garden wujud di Kuala Lumpur . Lama puluh tahun A R Venning dengan bantu Raja Negeri Selangor , usaha bina buah kebun di kawasan luas 70 1 hektar di lembah Sungai Bras-Bras . Usaha ini turut dapat sokong daripada tokoh masyarakat Kantonis yang kenal , Tauke Chow Ah Yeok . Beliau telah sumbang banyak ratus pokok cempaka dan pokok limau untuk tanam di kebun ini . Pada tahun 1967 , buah panggung yang beri nama Panggung Aniverseri telah bina di kebun bunga ini tuju sedia mudah sembah pentas dan tunjuk budaya . Pada 1 Februari 1968 , kebun bunga ini telah tukar nama jadi Taman Tasik Perdana oleh YAB Tun Abdul Razak bin Dato Hussein . Aktiviti Kawasan sekitar telah jaga dengan rapi dengan tanam pelbagai spesis pokok hias . Trek joging , kerusi rehat , Panggung Anniversari , gelanggang main dan lain telah sedia di sini . Lake Gardens rupa kawasan rekreasi yang tarik unjung tempat dan antarabangsa . Antara lokasi yang tarik di sekitar Lake Gardens ialah Tugu Negara Panggung Anniversari Muzium Negara Planetarium Negara Galeri Seri Perdana - dahulu diam Allahyarham Tun Abdul Razak . Taman Bunga Raya Taman Orkid Taman Burung Kuala Lumpur Rujuk","Pada 1 Februari 1968 , kebun bunga ini telah tukar nama jadi Taman Tasik Perdana oleh YAB Tun Abdul Razak bin Dato Hussein"
Manakah taman botani putrajaya?,taman botani putrajaya,"Taman Botani Putrajaya ialah buah taman botani di Putrajaya , Malaysia . Ianya yang punya lebih daripada 700 spesis tumbuh dari benua yang berbeza di dunia . Ia fungsi bagai kawasan lindung dan pusat ajar dan kaji bagi khazanah negara Malaysia . Ia punya 13 buah taman tema . Ia dapat iktiraf antarabangsa bagai salah buah daripada 40 buah taman cantik di Asia . Rujuk","Taman Botani Putrajaya ialah buah taman botani di Putrajaya , Malaysia ."
Apa yang boleh dilakukan di taman burung kuala lumpur?,taman burung kuala lumpur,"Taman Burung Kuala Lumpur ialah buah taman burung letak hampir dengan Tasik Perdana di Kuala Lumpur negara Malaysia . Ia ukur 20 9 ekar 8 5 ha . Ia letak Di sekitar kawasan ini dapat pelbagai pusat lancong lain seperti Taman Rama , Masjid Negara , Taman Bunga Raya , Balai Ingat Tun Abdul Razak , Planetarium Negara dan lain . Taman Burung ini telah dirasmikan oleh Seri Paduka Baginda Raja Permaisuri Agong , Tuanku Siti Bainun binti Mohd Ali pada 15 November 1991 . Ia urus oleh Dewan Bandaraya Kuala Lumpur . Taman burung ini rupa buah taman sari burung dan taman tropika khas untuk cinta alam . Taman burung ini kata buah taman burung yang besar di rantau Asia Tenggara dengan rangkum kawasan lembah hijau luas 20 9 ekar . Buat pertama kali di Malaysia , para gemar burung peluang perhati lebih kurang 3 000 ekor burung dari bagai spesis bangan bebas di dalam suasana taman hampir mula jadi . Dapat burung enggang , bangau , ranggung , nuri , serindit , kuang , kakaktua , punai , merpati , ruak dan langling , itik dan flamingo serta pelbagai spesies burung yang asal dari Malaysia dan negara seperti Australia , New Guinea , Thailand , Indonesia , Tanzania , China dan Belanda ami taman burung ini . Sejarah Taman Burung ialah sebahagian daripada kawasan di dalam Tasik Perdana Kuala Lumpur dengan luas yang untuk bagi banyak 60 hektar 150 ekar , yang telah tubuh pada tahun 1888 . Selain daripada 20 9 ekar 8 5 hektar taman burung , yang wujud pada tahun 1991 , taman masuk tasik buat , Tugu Negara , Taman rama Kuala Lumpur , Taman rusa , Orchid Hibiscus dan taman , dan bekas Bangun Parlimen Malaysia . Ia rupa salah satu taman burung lindung besar di dunia . Aktiviti Perhati burung adalah aktiviti biasa di sini di mana flora dan fauna yang kaya . Taman Burung Kuala Lumpur telah oleh reputasi di kalang mereka yang minat kepada kaji burung di habitat mula jadi mereka . Tengah daripada mereka masuk ahli sains lidi yang pantau sarang burung untuk kaji pola tingkah laku . Angkut Taman Burung Kuala Lumpur hubung dengan beberapa rangkai angkut awam seperti bas tempat dan kereta api komuter . Stesen kereta api yang hampir ialah stesen keretapi Kuala Lumpur yang mana sedia khidmat KTM Komuter yang tuju ke Labuh Klang atau Tanjung Malim Lalu Tanjung malimpelabuhan Klang dan Batu Caves atau Pulau sebangtampin Lalu Batu cavespulau Bang . Khidmat bas bandar raya GO KL lalu 03 khidmat di panjang Jalan Sultan Hishamuddin . Bas Intrakota lalu 21C dan 48C dari Kota Raya dan lalu 18 dan 21A dari Chow Kit pernah khidmat di sini , belum syarikat angkut bas itu bubar . Galeri Lihat juga Zoo Negara Rujuk Paut luar Laman web rasmi",Aktiviti Perhati burung adalah aktiviti biasa di sini di mana flora dan fauna yang kaya.
Apa yang menarik di taman negara?,taman negara,"Taman Negara Malaysia buka pada 19381939 bagai Taman Negara King George V . Ia kemudian nama bagai Taman Negara lepas merdeka . Luas kawasan Taman Negara ialah 4 343 km . Geografi Taman Negara letak di antara sempadan 3 negeri iaitu Pahang , Terengganu , dan Lantan , yang mana masing-masing milik kawasan milik sendiri . Enakmen Taman Negara Pahang No . 2 pada 1939 buat untuk Pahang , Enakmen Taman Negara Lantan No . 14 pada 1938 untuk Lantan , dan Enakmen Taman Negara Terengganu No . 6 pada 1939 untuk Terengganu . Semua enakmen milik sama kandung . Taman Negara Pahang rupa yang besar dengan luas 2 477 km , ikut oleh Taman Negara Lantan luas 1 043 km , dan Taman Negara Terengganu luas 1030 8 km . Taman ini jadi buah destinasi eko-pelancongan kenal di Malaysia . Dapat pelbagai daya tari dari segi geologikal dan biologikal di taman ini . Taman Negara Pahang Gunung Tahan rupa titik tinggi di Semenanjung Malaysia letak di Taman Negara , daki boleh guna Kuala Tahan atau Merapoh bagai titik mula ekspedisi daki itu . Taman Negara punya banyak haiwan mamalia yang jarang temu dan makin pupus seperti harimau , tenuk , gajah , rusa , babi hutan , pelanduk , dan seladang . Sungai Tahan jadi kawasan habitat kepada Ikan Kelah , jenis ikan tanding . Daya tari lain boleh temu di Kuala Tahan tempat utama Taman Negara di Pahang masuk lalu kanopi , Gua Telinga , dan Lata Koh . Unjung dapat nikmat indah hutan hujan tropika , kicau burung , atau rentas hutan contoh Tenor Rintis dan pandang sungai ketika lalu Sungai Tahan . Semua unjung mesti dapat kebenaranpermit daripada Jabat Lindung Hidup Liar dan Taman Negara belum jejak kaki ke Taman Negara . Dapat banyak hostel dan hotel di taman ini . Lancong ke Taman Negara juga boleh pilih untuk serta aktiviti pancing utama di Lata Koh dan Sungai Kenyam . Dapat 300 spesies ikan utama dari keluarga kap seperti ikan kelisa , ikan kelah , dan lain lagi banyak dapat di sungai di Taman Negara . Lancong juga boleh sewa bot untuk aktiviti pancing dan sukan air . Orang Asli Taman Negara adalah sebahagian daripada wilayah adat beberapa kumpul Orang Asli . Khusus , orang Batek masih tinggal di sekitar taman . undang kena iktiraf hak guna Orang Asli dalam Taman Negara contoh seksyen 15c , Enakmen Pahang 21939 . Dalam hal ini , enam kumpul Orang Asli senarai Ple , Temiar , Ple-Temiar , Senoi , Semang , dan Pangan . Lancong Taman Negara adalah Kawasan Lindung rasmi yang pertama dan tua di negara ini dan pada waktu dahulu nali bagai King George V National Park . Taman negara ini yang diisytiharkan cara rasminya oleh Sultan Lantan , Pahang dan Terengganu waktu sambut Jubli Perak King George warta bagi pelihara alam semulajadi kawasan ini . Taman ini nama Taman Negara telah negara capai merdeka pada tahun 1957 . Aktiviti paling popular di Taman Negara ialah sampan di sungai dan teroka lalu trek hutan . Lalu Kanopi yang",Aktiviti paling popular di Taman Negara ialah sampan di sungai dan teroka lalu trek hutan.
Mengapa taman negara menjadi tempat tarikan pelancong?,taman negara,"Taman Negara Malaysia buka pada 19381939 bagai Taman Negara King George V . Ia kemudian nama bagai Taman Negara lepas merdeka . Luas kawasan Taman Negara ialah 4 343 km . Geografi Taman Negara letak di antara sempadan 3 negeri iaitu Pahang , Terengganu , dan Lantan , yang mana masing-masing milik kawasan milik sendiri . Enakmen Taman Negara Pahang No . 2 pada 1939 buat untuk Pahang , Enakmen Taman Negara Lantan No . 14 pada 1938 untuk Lantan , dan Enakmen Taman Negara Terengganu No . 6 pada 1939 untuk Terengganu . Semua enakmen milik sama kandung . Taman Negara Pahang rupa yang besar dengan luas 2 477 km , ikut oleh Taman Negara Lantan luas 1 043 km , dan Taman Negara Terengganu luas 1030 8 km . Taman ini jadi buah destinasi eko-pelancongan kenal di Malaysia . Dapat pelbagai daya tari dari segi geologikal dan biologikal di taman ini . Taman Negara Pahang Gunung Tahan rupa titik tinggi di Semenanjung Malaysia letak di Taman Negara , daki boleh guna Kuala Tahan atau Merapoh bagai titik mula ekspedisi daki itu . Taman Negara punya banyak haiwan mamalia yang jarang temu dan makin pupus seperti harimau , tenuk , gajah , rusa , babi hutan , pelanduk , dan seladang . Sungai Tahan jadi kawasan habitat kepada Ikan Kelah , jenis ikan tanding . Daya tari lain boleh temu di Kuala Tahan tempat utama Taman Negara di Pahang masuk lalu kanopi , Gua Telinga , dan Lata Koh . Unjung dapat nikmat indah hutan hujan tropika , kicau burung , atau rentas hutan contoh Tenor Rintis dan pandang sungai ketika lalu Sungai Tahan . Semua unjung mesti dapat kebenaranpermit daripada Jabat Lindung Hidup Liar dan Taman Negara belum jejak kaki ke Taman Negara . Dapat banyak hostel dan hotel di taman ini . Lancong ke Taman Negara juga boleh pilih untuk serta aktiviti pancing utama di Lata Koh dan Sungai Kenyam . Dapat 300 spesies ikan utama dari keluarga kap seperti ikan kelisa , ikan kelah , dan lain lagi banyak dapat di sungai di Taman Negara . Lancong juga boleh sewa bot untuk aktiviti pancing dan sukan air . Orang Asli Taman Negara adalah sebahagian daripada wilayah adat beberapa kumpul Orang Asli . Khusus , orang Batek masih tinggal di sekitar taman . undang kena iktiraf hak guna Orang Asli dalam Taman Negara contoh seksyen 15c , Enakmen Pahang 21939 . Dalam hal ini , enam kumpul Orang Asli senarai Ple , Temiar , Ple-Temiar , Senoi , Semang , dan Pangan . Lancong Taman Negara adalah Kawasan Lindung rasmi yang pertama dan tua di negara ini dan pada waktu dahulu nali bagai King George V National Park . Taman negara ini yang diisytiharkan cara rasminya oleh Sultan Lantan , Pahang dan Terengganu waktu sambut Jubli Perak King George warta bagi pelihara alam semulajadi kawasan ini . Taman ini nama Taman Negara telah negara capai merdeka pada tahun 1957 . Aktiviti paling popular di Taman Negara ialah sampan di sungai dan teroka lalu trek hutan . Lalu Kanopi yang","Taman Negara Pahang rupa yang besar dengan luas 2 477 km , ikut oleh Taman Negara Lantan luas 1 043 km , dan Taman Negara Terengganu luas 1030 8 km."
Apa aktiviti popular di taman negara?,taman negara,"Taman Negara Malaysia buka pada 19381939 bagai Taman Negara King George V . Ia kemudian nama bagai Taman Negara lepas merdeka . Luas kawasan Taman Negara ialah 4 343 km . Geografi Taman Negara letak di antara sempadan 3 negeri iaitu Pahang , Terengganu , dan Lantan , yang mana masing-masing milik kawasan milik sendiri . Enakmen Taman Negara Pahang No . 2 pada 1939 buat untuk Pahang , Enakmen Taman Negara Lantan No . 14 pada 1938 untuk Lantan , dan Enakmen Taman Negara Terengganu No . 6 pada 1939 untuk Terengganu . Semua enakmen milik sama kandung . Taman Negara Pahang rupa yang besar dengan luas 2 477 km , ikut oleh Taman Negara Lantan luas 1 043 km , dan Taman Negara Terengganu luas 1030 8 km . Taman ini jadi buah destinasi eko-pelancongan kenal di Malaysia . Dapat pelbagai daya tari dari segi geologikal dan biologikal di taman ini . Taman Negara Pahang Gunung Tahan rupa titik tinggi di Semenanjung Malaysia letak di Taman Negara , daki boleh guna Kuala Tahan atau Merapoh bagai titik mula ekspedisi daki itu . Taman Negara punya banyak haiwan mamalia yang jarang temu dan makin pupus seperti harimau , tenuk , gajah , rusa , babi hutan , pelanduk , dan seladang . Sungai Tahan jadi kawasan habitat kepada Ikan Kelah , jenis ikan tanding . Daya tari lain boleh temu di Kuala Tahan tempat utama Taman Negara di Pahang masuk lalu kanopi , Gua Telinga , dan Lata Koh . Unjung dapat nikmat indah hutan hujan tropika , kicau burung , atau rentas hutan contoh Tenor Rintis dan pandang sungai ketika lalu Sungai Tahan . Semua unjung mesti dapat kebenaranpermit daripada Jabat Lindung Hidup Liar dan Taman Negara belum jejak kaki ke Taman Negara . Dapat banyak hostel dan hotel di taman ini . Lancong ke Taman Negara juga boleh pilih untuk serta aktiviti pancing utama di Lata Koh dan Sungai Kenyam . Dapat 300 spesies ikan utama dari keluarga kap seperti ikan kelisa , ikan kelah , dan lain lagi banyak dapat di sungai di Taman Negara . Lancong juga boleh sewa bot untuk aktiviti pancing dan sukan air . Orang Asli Taman Negara adalah sebahagian daripada wilayah adat beberapa kumpul Orang Asli . Khusus , orang Batek masih tinggal di sekitar taman . undang kena iktiraf hak guna Orang Asli dalam Taman Negara contoh seksyen 15c , Enakmen Pahang 21939 . Dalam hal ini , enam kumpul Orang Asli senarai Ple , Temiar , Ple-Temiar , Senoi , Semang , dan Pangan . Lancong Taman Negara adalah Kawasan Lindung rasmi yang pertama dan tua di negara ini dan pada waktu dahulu nali bagai King George V National Park . Taman negara ini yang diisytiharkan cara rasminya oleh Sultan Lantan , Pahang dan Terengganu waktu sambut Jubli Perak King George warta bagi pelihara alam semulajadi kawasan ini . Taman ini nama Taman Negara telah negara capai merdeka pada tahun 1957 . Aktiviti paling popular di Taman Negara ialah sampan di sungai dan teroka lalu trek hutan . Lalu Kanopi yang",Lancong ke Taman Negara juga boleh pilih untuk serta aktiviti pancing utama di Lata Koh dan Sungai Kenyam.
Apa yang boleh dilakukan di taman negara gunung mulu?,taman negara gunung mulu,"Taman Negara Gunung Mulu , atau Taman Negara Mulu yang letak di belah utara negeri Sarawak , rupa salah satu daripada destinasi lancong yang kenal di Malaysia , khas di Sarawak . Ia rupa salah satu kawasan batu kapur yang paling selidik di dunia . Kawasan taman luas 52 864 - hektar kandung tujuh belas zon tumbuh , tampil sekitar 3 500 spesies tumbuh vaskular . Spesies palm di situ amat kaya dengan 109 spesies dari dua puluh genus telah jumpa . Taman Negara ini hias oleh Gunung Mulu yang rupa gunung batu pasir setinggi 2 377 meter . Sekitar 295 km gua yang telah teroka beri pandang yang takjub dan turut rupa gua diam kepada juta lawar dan burung layang . Kamar Sarawak yang luas 600 meter X 415 m dan setinggi 80 m , ialah kamar gua besar di seluruh dunia yang tahu . Taman Negara Mulu turut milik bentuk geografi yang unik , yang diri daripada gua batu kapur , lingkar air batu yang jernih serta dilitupi oleh hutan dara tropika , Taman Negara Mulu rupa tempat yang bukan hanya sesuai untuk orang yang ingin tenang jauh dari hiruk pikuk kota metropolitan bahkan juga amat sesuai bagi mereka yang ingin giat yang lasak . Taman Negara Mulu boleh tuju lalu pesawat dari Miri dan terus ke Taman Negara Mulu atau bagi mereka yang ingin rasa lain dengan guna jalan lain iaitu dengan guna bot ekspres dari Kuala Baram , Miri ke Marudi dan kemudian ke Taman Negara Mulu . Sejarah Rujuk awal kepada gua Mulu ialah pada tahun 1858 apabila Spenser St . John Konsul British di Brunei sebut jisim batu kapur yang pisah , banyak yang usang air , dengan gua dan terowong mula jadi dalam buku Life in the Forests of the Far East . Spenser cuba daki Gunung Mulu kemudian tetapi gagal kerana tebing batu kapur , hutan tebal dan puncak yang tajam . Pada abad ke-19 , Charles Hose orang tadbir di Raj Sarawak cuba daki Gunung Mulu tetapi gagal . Hanya pada tahun 1920 - an , apabila orang buru badak Awan nama Tama Nilong temu rabung barat daya hampir gunung yang akhir bawa ke puncak . Pada tahun 1932 , Tama Nilong tuai Edward Shackleton masa ekspedisi Universiti Oxford ke puncak Gunung Mulu . Rujuk Sumber Hans P . Hazebroek and Abang Kashim bin Abang Morshidi National Parks of Sarawak , 2000 , Pustaka Negara Malaysia , ISBN 983 - 812 - 032 - 4 David W Gill . The Gunung Mulu National Park Nomination for World Natural Heritage Listing . Sarawak , Malaysia . 1999 . Sarawak Forest Department . Paut luar Pandu lancong Taman Negara Mulu dari Wikivoyage Sarawak Forestry Mulu National Park Mulu Caves Project","Pelawat boleh meneroka gua, mendaki Gunung Mulu, menikmati sungai batu jernih, merentas hutan, menyaksikan jutaan kelawar keluar dari gua, serta menikmati ketenangan alam semula jadi. Pengalaman menaiki bot ekspres ke taman juga menambah keunikan lawatan."
Apa aktiviti popular di taman negara pulau pinang?,taman negara pulau pinang,"Taman Negara Pulau Pinang yang letak di Teluk Bahang rupa salah satu tumpu para lancong di Pulau Pinang . Taman Negara Pulau Pinang letak di belah pesisir pantai Pulau Pinang . Belum ini ia nali bagai Hutan Simpan Pantai Acheh , bagai labuh 417 flora dan 143 spesies fauna . Hutan Simpan Pantai Acheh , yang letak di hujung barat laut Pulau Pinang , diisytiharkan bagai Taman Negara Pulau Pinang pada bulan April 2003 . Taman ini punya luas banyak 1 266 hektar liput dipterokarpa , tanah tinggi , paya bakau , pantai dan juga pesisir pantai batu . Luas adalah yang dua besar lepas Taman Negara . Banyak spesies flora dan fauna masuk yang jarang temu dan juga yang hampir pupus dapat di sini . Untuk sampai ke sini hanya ambil masa 45 minit dari pusat bandar . Dapat banyak tempat bagi perhati dan ambil gambar burung , penyu dan hidup liar lain di dalam habitat semulajadi . Taman ini sesuai untuk rentas hutan . Unjung peluang untuk alami pelbagai habitat yang liput pantai pasir dan batu sehingga kepada datar lumpur , paya bakau , kolam meromiktik dan hutan hujan tropika . Taman Negara Pulau Pinang turut milik buah rumah api yang bina pada tahun 1883 . Ekologi ciri unik di sini ialah lima jenis habitat yang tidak dapat dalam rizab alam mula jadi utama Malaysia yang lain . Taman ini adalah tempat lindung bagi 417 jenis flora dan 143 spesies fauna , masuk kura , crustacea , dan Pokok Periuk Kera yang jarang temu . Ini boleh Park untuk bangga salah satu gabung biodiversiti yang paling luar biasa di Malaysia . Pantai Sebab lokasi yang ada di dalam , sembilan taman pantai ini anggap bagai yang baik di Pulau Pinang . Pantai sebut adalah Teluk Bahang Pasir Pandak Teluk Tukun Tanjung Ailing Teluk Duyung Pantai Monyet Teluk Ketapang Pantai Kerachut Teluk Kamp Pantai Mas Paut luar Laman sawang rasmi Laman sawang Pulau Pinang Global Sentral Taman Negara Pulau Pinang One Stop Malaysia Lancong Malaysia Taman Negara Pulau Pinang Teroka hutan Diarkibkan 2016 - 03 - 03 di Wayback Machine","Aktiviti popular termasuk merentas hutan, melihat burung, memerhati penyu, bersiar-siar di pantai, berkhemah, melawat rumah api lama (1883), serta meneroka habitat unik seperti kolam meromiktik, paya bakau dan hutan dipterokarpa."
Apakah keunikan taman negara pulau pinang?,taman negara pulau pinang,"Taman Negara Pulau Pinang yang letak di Teluk Bahang rupa salah satu tumpu para lancong di Pulau Pinang . Taman Negara Pulau Pinang letak di belah pesisir pantai Pulau Pinang . Belum ini ia nali bagai Hutan Simpan Pantai Acheh , bagai labuh 417 flora dan 143 spesies fauna . Hutan Simpan Pantai Acheh , yang letak di hujung barat laut Pulau Pinang , diisytiharkan bagai Taman Negara Pulau Pinang pada bulan April 2003 . Taman ini punya luas banyak 1 266 hektar liput dipterokarpa , tanah tinggi , paya bakau , pantai dan juga pesisir pantai batu . Luas adalah yang dua besar lepas Taman Negara . Banyak spesies flora dan fauna masuk yang jarang temu dan juga yang hampir pupus dapat di sini . Untuk sampai ke sini hanya ambil masa 45 minit dari pusat bandar . Dapat banyak tempat bagi perhati dan ambil gambar burung , penyu dan hidup liar lain di dalam habitat semulajadi . Taman ini sesuai untuk rentas hutan . Unjung peluang untuk alami pelbagai habitat yang liput pantai pasir dan batu sehingga kepada datar lumpur , paya bakau , kolam meromiktik dan hutan hujan tropika . Taman Negara Pulau Pinang turut milik buah rumah api yang bina pada tahun 1883 . Ekologi ciri unik di sini ialah lima jenis habitat yang tidak dapat dalam rizab alam mula jadi utama Malaysia yang lain . Taman ini adalah tempat lindung bagi 417 jenis flora dan 143 spesies fauna , masuk kura , crustacea , dan Pokok Periuk Kera yang jarang temu . Ini boleh Park untuk bangga salah satu gabung biodiversiti yang paling luar biasa di Malaysia . Pantai Sebab lokasi yang ada di dalam , sembilan taman pantai ini anggap bagai yang baik di Pulau Pinang . Pantai sebut adalah Teluk Bahang Pasir Pandak Teluk Tukun Tanjung Ailing Teluk Duyung Pantai Monyet Teluk Ketapang Pantai Kerachut Teluk Kamp Pantai Mas Paut luar Laman sawang rasmi Laman sawang Pulau Pinang Global Sentral Taman Negara Pulau Pinang One Stop Malaysia Lancong Malaysia Taman Negara Pulau Pinang Teroka hutan Diarkibkan 2016 - 03 - 03 di Wayback Machine","Keunikan taman ini ialah ia meliputi lima habitat semula jadi  pantai, dataran lumpur, paya bakau, kolam meromiktik dan hutan hujan tropika  serta menjadi rumah kepada 417 spesies flora dan 143 fauna, termasuk Pokok Periuk Kera, penyu dan crustacea."
Apa yang menarik di taman negeri royal belum?,taman negeri royal belum,"Taman Negeri Royal Belum letak di utara hujung Perak . Luas kawasan bagi hutan simpan ini lapor liput luas 300 , 000 hektar . Hutan Belum ini dibahagikan kepada bahagian atas dan bahagian bawah . Bahagian atas hutan belum ini tutup oleh 117 , 500 hektar kawasan hutan yang tebal dan pasuk sempadan Thailand-Malaysia . Kawasan hutan yang luas ini boleh anggap seperti tembok mula jadi dan digazetkan di bawah untuk Akta Hutan Negara 1984 . Taman simpan Belum dan Temenggor biar tumbuh liar kerana Raja Perak telah putus untuk kekal kawasan sebut bagai simpan semulajadi bagi tuju lidi . Bahagian atas hutan belum rupa 90 yang belum teroka manakala bahagian bawah umum dilitupi oleh hutan sekunder . Sejarah Taman Negeri Royal Belum percaya telah wujud lama lebih dari 130 juta tahun , jadi salah satu hutan hujan tua di dunia , lebih tua dari Hutan hujan Amazon dan Hutan hujan Kongo . Hutan ini dapat nama sempena daripada nama buah kampung Melayu iaitu Kampung Belum Lama . Belum adalah bunyi yang keluar oleh serangga kayu yang bunyi seperti Belummm , Belummm . Taman negeri ini pernah punya kampung masyarakat lama Melayu , Kampung Lama Belum yang letak di tengah Hutan Belum . Tasik yang keliling hutan ini awal dapat kampung Orang Asli suku Jaha , iaitu suku Negrito yang ami tanah Semenanjung . Hutan Belum jadi salah satu tempat sembunyi pihak British . Sejak 1952 , pihak British telah arah masyarakat kampung ini pindah ke Bendang Puru yang letak hampir Grik waktu gempur pihak komunis . Biodiversiti Di Hutan Belum ini dapat pelbagai jenis tumbuh dan pokok kayu keras hutan hujan tropika yang makin pupus . Antara ialah spesies meranti , cengal , keruing dan merbau yang besar . Di sini juga dapat pelbagai jenis tumbuh herba yang boleh guna untuk rawat pelbagai jenis sakit . Dapat juga spesies tumbuh yang sukar temu di tempat lain seperti Rafflesia yang tumbuh liar di sini yang rupa spesies bunga besar . Dapat 3 spesies bunga raflesia di hutan ini daripada 26 bunga raflesia yang dapat di dunia iaitu Rafflesia cantleyi , R . kerri and R . azlanii . Dapat lebih daripada 89 spesies lumut 48 taksonomi paku-pakis atau likofit , lebih daripada 374 spesies dalam 84 keluarga tumbuh bunga telah senarai dan direkodkan masuk 15 spesies endemik . Lebih 150 spesies orkid jumpa di sini . Hutan ini jadi habitat kepada spesies enggang banyak di dunia iaitu lebih 10 spesies , 80 spesies mamalia masuk gajah Asia Elephas maximus maximus , harimau Malaya , seladang Malaya , tapir Malaya , harimau bintang , kucing tulap dan pelbagai spesies kucing . Turut jumpa di hutan ini ialah 18 spesies katak dan kodok , 67 spesies ular , dan antara serangga , dapat lebih dari 132 spesies kumbang , 28 spesies dengan mungkin tiga spesies baru cengkerik , 97 spesies rama dan 41 spesies capang dan damselfly . Rujuk Paut Luar Belum Temenggor Laman web rasmi","Royal Belum menarik kerana ia adalah salah satu hutan hujan tertua di dunia (lebih 130 juta tahun), kaya dengan spesies flora dan fauna seperti Rafflesia, orkid, harimau Malaya, gajah Asia, dan pelbagai burung enggang."
